UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel,AgeGroup,DurationCategory,ComfortScore
25,41,Other,Playstation Vr,5.28,5,5,Middle (30-44),Short (<20 min),7.78
26,28,Female,Playstation Vr,26.69,9,1,Young (18-29),Medium (20-40 min),0.56
27,60,Other,Oculus Rift,15.26,3,3,Senior (45+),Short (<20 min),6.39
28,24,Male,Htc Vive,34.09,7,3,Young (18-29),Medium (20-40 min),4.17
29,30,Other,Htc Vive,57.41,4,4,Middle (30-44),Long (>40 min),7.08
30,59,Female,Oculus Rift,11.52,6,3,Senior (45+),Short (<20 min),4.72
31,31,Male,Oculus Rift,32.52,7,1,Middle (30-44),Medium (20-40 min),1.67
32,25,Other,Htc Vive,21.0,6,3,Young (18-29),Medium (20-40 min),4.72
33,39,Female,Playstation Vr,18.35,1,5,Middle (30-44),Short (<20 min),10.0
34,49,Male,Playstation Vr,28.81,10,1,Senior (45+),Medium (20-40 min),0.0
35,23,Other,Playstation Vr,20.1,3,1,Young (18-29),Medium (20-40 min),3.89
36,53,Female,Oculus Rift,45.5,10,5,Senior (45+),Long (>40 min),5.0
37,54,Other,Oculus Rift,37.73,5,3,Senior (45+),Medium (20-40 min),5.28
38,41,Male,Oculus Rift,52.72,3,4,Middle (30-44),Long (>40 min),7.64
39,43,Female,Playstation Vr,6.12,10,3,Middle (30-44),Short (<20 min),2.5
40,45,Other,Playstation Vr,39.83,9,2,Senior (45+),Medium (20-40 min),1.81
41,30,Female,Playstation Vr,10.31,9,4,Middle (30-44),Short (<20 min),4.31
42,33,Male,Htc Vive,40.55,5,1,Middle (30-44),Long (>40 min),2.78
43,53,Female,Htc Vive,6.42,3,2,Senior (45+),Short (<20 min),5.14
44,19,Other,Playstation Vr,14.9,10,1,Young (18-29),Short (<20 min),0.0
45,51,Female,Playstation Vr,58.53,10,5,Senior (45+),Long (>40 min),5.0
46,41,Other,Playstation Vr,19.3,6,4,Middle (30-44),Short (<20 min),5.97
47,39,Female,Htc Vive,21.04,2,4,Middle (30-44),Medium (20-40 min),8.19
48,29,Female,Playstation Vr,14.87,6,4,Young (18-29),Short (<20 min),5.97
49,37,Female,Oculus Rift,46.2,8,5,Middle (30-44),Long (>40 min),6.11
50,36,Female,Oculus Rift,13.86,5,1,Middle (30-44),Short (<20 min),2.78
51,49,Female,Oculus Rift,16.85,2,4,Senior (45+),Short (<20 min),8.19
52,34,Other,Oculus Rift,41.02,7,3,Middle (30-44),Long (>40 min),4.17
53,46,Other,Playstation Vr,48.89,6,2,Senior (45+),Long (>40 min),3.47
54,54,Male,Htc Vive,53.92,5,2,Senior (45+),Long (>40 min),4.03
55,38,Female,Oculus Rift,18.43,7,1,Middle (30-44),Short (<20 min),1.67
56,45,Male,Htc Vive,49.64,6,2,Senior (45+),Long (>40 min),3.47
57,58,Other,Playstation Vr,43.97,5,2,Senior (45+),Long (>40 min),4.03
58,38,Female,Oculus Rift,51.38,3,2,Middle (30-44),Long (>40 min),5.14
59,46,Other,Htc Vive,57.21,9,1,Senior (45+),Long (>40 min),0.56
60,36,Other,Htc Vive,23.9,7,1,Middle (30-44),Medium (20-40 min),1.67
61,50,Other,Oculus Rift,14.67,8,4,Senior (45+),Short (<20 min),4.86
62,44,Other,Oculus Rift,51.69,4,1,Middle (30-44),Long (>40 min),3.33
63,56,Male,Playstation Vr,50.04,6,3,Senior (45+),Long (>40 min),4.72
64,47,Male,Htc Vive,50.53,2,5,Senior (45+),Long (>40 min),9.44
65,43,Male,Playstation Vr,17.27,10,2,Middle (30-44),Short (<20 min),1.25
66,54,Male,Htc Vive,42.76,7,2,Senior (45+),Long (>40 min),2.92
67,29,Female,Playstation Vr,13.47,8,5,Young (18-29),Short (<20 min),6.11
68,57,Male,Playstation Vr,5.54,6,5,Senior (45+),Short (<20 min),7.22
69,23,Male,Htc Vive,48.57,6,4,Young (18-29),Long (>40 min),5.97
70,43,Male,Htc Vive,39.57,9,3,Middle (30-44),Medium (20-40 min),3.06
71,55,Other,Playstation Vr,25.27,1,1,Senior (45+),Medium (20-40 min),5.0
72,49,Female,Htc Vive,8.11,4,2,Senior (45+),Short (<20 min),4.58
73,60,Other,Playstation Vr,48.86,5,5,Senior (45+),Long (>40 min),7.78
74,35,Female,Htc Vive,50.73,7,2,Middle (30-44),Long (>40 min),2.92
75,19,Male,Playstation Vr,41.27,10,3,Young (18-29),Long (>40 min),2.5
76,42,Female,Playstation Vr,44.97,6,4,Middle (30-44),Long (>40 min),5.97
77,47,Male,Playstation Vr,27.19,7,4,Senior (45+),Medium (20-40 min),5.42
78,44,Female,Oculus Rift,53.99,7,1,Middle (30-44),Long (>40 min),1.67
79,36,Female,Playstation Vr,32.98,5,2,Middle (30-44),Medium (20-40 min),4.03
80,28,Female,Playstation Vr,51.64,9,5,Young (18-29),Long (>40 min),5.56
81,27,Male,Htc Vive,42.17,1,4,Young (18-29),Long (>40 min),8.75
82,35,Other,Playstation Vr,44.11,5,3,Middle (30-44),Long (>40 min),5.28
83,26,Female,Playstation Vr,28.81,2,1,Young (18-29),Medium (20-40 min),4.44
84,37,Female,Playstation Vr,57.98,8,3,Middle (30-44),Long (>40 min),3.61
85,27,Other,Htc Vive,5.01,7,2,Young (18-29),Short (<20 min),2.92
86,45,Other,Htc Vive,14.34,6,1,Senior (45+),Short (<20 min),2.22
87,37,Male,Oculus Rift,55.22,2,2,Middle (30-44),Long (>40 min),5.69
88,33,Female,Playstation Vr,50.59,9,2,Middle (30-44),Long (>40 min),1.81
89,42,Female,Playstation Vr,36.97,2,4,Middle (30-44),Medium (20-40 min),8.19
90,19,Other,Htc Vive,42.0,2,5,Young (18-29),Long (>40 min),9.44
91,54,Other,Playstation Vr,13.02,4,4,Senior (45+),Short (<20 min),7.08
92,43,Female,Htc Vive,31.43,1,4,Middle (30-44),Medium (20-40 min),8.75
93,48,Other,Htc Vive,28.11,10,3,Senior (45+),Medium (20-40 min),2.5
94,21,Other,Oculus Rift,21.28,1,2,Young (18-29),Medium (20-40 min),6.25
95,55,Female,Playstation Vr,42.98,7,1,Senior (45+),Long (>40 min),1.67
96,58,Other,Playstation Vr,57.4,4,5,Senior (45+),Long (>40 min),8.33
97,49,Female,Oculus Rift,39.51,8,1,Senior (45+),Medium (20-40 min),1.11
98,47,Female,Playstation Vr,15.53,8,1,Senior (45+),Short (<20 min),1.11
99,41,Other,Htc Vive,52.25,7,3,Middle (30-44),Long (>40 min),4.17
100,37,Female,Playstation Vr,35.44,8,5,Middle (30-44),Medium (20-40 min),6.11
101,21,Male,Htc Vive,43.63,8,1,Young (18-29),Long (>40 min),1.11
102,57,Other,Htc Vive,40.26,6,4,Senior (45+),Long (>40 min),5.97
103,22,Male,Htc Vive,27.97,5,3,Young (18-29),Medium (20-40 min),5.28
104,58,Male,Oculus Rift,5.94,8,2,Senior (45+),Short (<20 min),2.36
105,27,Male,Htc Vive,44.63,1,3,Young (18-29),Long (>40 min),7.5
106,38,Male,Oculus Rift,37.22,4,2,Middle (30-44),Medium (20-40 min),4.58
107,29,Male,Htc Vive,58.58,3,2,Young (18-29),Long (>40 min),5.14
108,55,Male,Playstation Vr,43.45,10,4,Senior (45+),Long (>40 min),3.75
109,39,Female,Oculus Rift,39.98,1,1,Middle (30-44),Medium (20-40 min),5.0
110,21,Other,Htc Vive,51.05,9,3,Young (18-29),Long (>40 min),3.06
111,25,Male,Oculus Rift,25.33,3,2,Young (18-29),Medium (20-40 min),5.14
112,60,Other,Htc Vive,12.7,1,4,Senior (45+),Short (<20 min),8.75
113,39,Female,Playstation Vr,27.2,4,5,Middle (30-44),Medium (20-40 min),8.33
114,42,Male,Oculus Rift,31.65,8,4,Middle (30-44),Medium (20-40 min),4.86
115,37,Female,Playstation Vr,12.78,6,1,Middle (30-44),Short (<20 min),2.22
116,46,Female,Oculus Rift,31.17,1,4,Senior (45+),Medium (20-40 min),8.75
117,34,Male,Oculus Rift,6.14,5,1,Middle (30-44),Short (<20 min),2.78
118,59,Female,Htc Vive,5.5,10,1,Senior (45+),Short (<20 min),0.0
119,40,Male,Htc Vive,42.45,5,1,Middle (30-44),Long (>40 min),2.78
120,38,Male,Playstation Vr,17.99,3,4,Middle (30-44),Short (<20 min),7.64
121,60,Female,Htc Vive,7.38,10,1,Senior (45+),Short (<20 min),0.0
122,33,Female,Htc Vive,55.24,8,3,Middle (30-44),Long (>40 min),3.61
123,40,Female,Oculus Rift,51.74,3,3,Middle (30-44),Long (>40 min),6.39
124,40,Other,Htc Vive,19.53,1,2,Middle (30-44),Short (<20 min),6.25
125,18,Female,Playstation Vr,23.44,10,4,Young (18-29),Medium (20-40 min),3.75
126,41,Other,Oculus Rift,50.25,1,1,Middle (30-44),Long (>40 min),5.0
127,60,Other,Playstation Vr,58.77,1,5,Senior (45+),Long (>40 min),10.0
128,35,Other,Htc Vive,15.31,10,1,Middle (30-44),Short (<20 min),0.0
129,50,Other,Playstation Vr,18.48,8,4,Senior (45+),Short (<20 min),4.86
130,26,Female,Htc Vive,56.39,2,1,Young (18-29),Long (>40 min),4.44
131,19,Male,Playstation Vr,5.19,5,5,Young (18-29),Short (<20 min),7.78
132,42,Other,Playstation Vr,14.69,5,5,Middle (30-44),Short (<20 min),7.78
133,40,Other,Playstation Vr,11.21,7,4,Middle (30-44),Short (<20 min),5.42
134,21,Female,Playstation Vr,17.67,9,5,Young (18-29),Short (<20 min),5.56
135,49,Other,Playstation Vr,53.55,7,4,Senior (45+),Long (>40 min),5.42
136,35,Other,Playstation Vr,22.59,8,2,Middle (30-44),Medium (20-40 min),2.36
137,39,Female,Htc Vive,43.69,10,2,Middle (30-44),Long (>40 min),1.25
138,57,Other,Playstation Vr,15.13,2,3,Senior (45+),Short (<20 min),6.94
139,42,Female,Oculus Rift,7.08,5,5,Middle (30-44),Short (<20 min),7.78
140,58,Male,Oculus Rift,28.88,2,1,Senior (45+),Medium (20-40 min),4.44
141,45,Other,Oculus Rift,43.39,8,2,Senior (45+),Long (>40 min),2.36
142,34,Other,Oculus Rift,49.27,1,5,Middle (30-44),Long (>40 min),10.0
143,36,Other,Playstation Vr,43.68,3,3,Middle (30-44),Long (>40 min),6.39
144,21,Male,Oculus Rift,32.33,9,1,Young (18-29),Medium (20-40 min),0.56
145,18,Other,Htc Vive,10.46,5,2,Young (18-29),Short (<20 min),4.03
146,31,Male,Oculus Rift,54.33,3,1,Middle (30-44),Long (>40 min),3.89
147,37,Other,Oculus Rift,56.06,4,1,Middle (30-44),Long (>40 min),3.33
148,33,Other,Playstation Vr,13.32,7,1,Middle (30-44),Short (<20 min),1.67
149,20,Female,Htc Vive,45.24,2,4,Young (18-29),Long (>40 min),8.19
150,26,Other,Playstation Vr,33.8,4,2,Young (18-29),Medium (20-40 min),4.58
151,39,Other,Oculus Rift,32.73,3,4,Middle (30-44),Medium (20-40 min),7.64
152,49,Female,Oculus Rift,22.53,10,3,Senior (45+),Medium (20-40 min),2.5
153,42,Other,Htc Vive,43.14,3,4,Middle (30-44),Long (>40 min),7.64
154,20,Other,Htc Vive,57.38,3,5,Young (18-29),Long (>40 min),8.89
155,43,Female,Htc Vive,9.02,4,5,Middle (30-44),Short (<20 min),8.33
156,35,Female,Oculus Rift,11.31,10,3,Middle (30-44),Short (<20 min),2.5
157,55,Female,Htc Vive,32.13,5,5,Senior (45+),Medium (20-40 min),7.78
158,36,Other,Oculus Rift,24.25,1,1,Middle (30-44),Medium (20-40 min),5.0
159,55,Female,Playstation Vr,32.42,10,1,Senior (45+),Medium (20-40 min),0.0
160,60,Female,Playstation Vr,59.03,6,3,Senior (45+),Long (>40 min),4.72
161,60,Male,Playstation Vr,29.03,8,1,Senior (45+),Medium (20-40 min),1.11
162,58,Other,Playstation Vr,57.27,10,3,Senior (45+),Long (>40 min),2.5
163,19,Other,Htc Vive,54.24,2,1,Young (18-29),Long (>40 min),4.44
164,25,Female,Oculus Rift,38.97,1,3,Young (18-29),Medium (20-40 min),7.5
165,19,Male,Oculus Rift,31.39,5,2,Young (18-29),Medium (20-40 min),4.03
166,39,Female,Playstation Vr,8.69,2,4,Middle (30-44),Short (<20 min),8.19
167,30,Male,Htc Vive,13.42,6,5,Middle (30-44),Short (<20 min),7.22
168,48,Female,Oculus Rift,9.94,1,5,Senior (45+),Short (<20 min),10.0
169,32,Other,Htc Vive,51.86,3,5,Middle (30-44),Long (>40 min),8.89
170,36,Male,Playstation Vr,41.15,10,1,Middle (30-44),Long (>40 min),0.0
171,24,Female,Htc Vive,41.14,5,1,Young (18-29),Long (>40 min),2.78
172,43,Male,Htc Vive,48.1,1,1,Middle (30-44),Long (>40 min),5.0
173,39,Other,Htc Vive,43.93,8,1,Middle (30-44),Long (>40 min),1.11
174,58,Female,Oculus Rift,37.11,2,1,Senior (45+),Medium (20-40 min),4.44
175,48,Female,Oculus Rift,33.08,9,2,Senior (45+),Medium (20-40 min),1.81
176,38,Male,Playstation Vr,21.84,9,2,Middle (30-44),Medium (20-40 min),1.81
177,55,Female,Htc Vive,20.85,3,2,Senior (45+),Medium (20-40 min),5.14
178,23,Male,Htc Vive,19.48,1,2,Young (18-29),Short (<20 min),6.25
179,31,Female,Htc Vive,25.13,9,1,Middle (30-44),Medium (20-40 min),0.56
180,27,Female,Htc Vive,6.34,9,3,Young (18-29),Short (<20 min),3.06
181,26,Other,Htc Vive,24.29,3,1,Young (18-29),Medium (20-40 min),3.89
182,24,Male,Oculus Rift,59.17,2,4,Young (18-29),Long (>40 min),8.19
183,34,Other,Oculus Rift,34.12,7,5,Middle (30-44),Medium (20-40 min),6.67
184,26,Female,Playstation Vr,51.68,4,2,Young (18-29),Long (>40 min),4.58
185,33,Other,Oculus Rift,42.9,8,3,Middle (30-44),Long (>40 min),3.61
186,55,Female,Playstation Vr,35.81,10,3,Senior (45+),Medium (20-40 min),2.5
187,42,Male,Oculus Rift,13.4,2,1,Middle (30-44),Short (<20 min),4.44
188,29,Female,Htc Vive,26.22,1,3,Young (18-29),Medium (20-40 min),7.5
189,28,Female,Oculus Rift,46.05,1,2,Young (18-29),Long (>40 min),6.25
190,55,Other,Oculus Rift,54.99,4,5,Senior (45+),Long (>40 min),8.33
191,57,Other,Playstation Vr,22.27,10,4,Senior (45+),Medium (20-40 min),3.75
192,29,Female,Oculus Rift,52.67,2,3,Young (18-29),Long (>40 min),6.94
193,55,Female,Playstation Vr,59.17,4,1,Senior (45+),Long (>40 min),3.33
194,41,Female,Playstation Vr,42.9,3,3,Middle (30-44),Long (>40 min),6.39
195,39,Male,Oculus Rift,45.17,8,3,Middle (30-44),Long (>40 min),3.61
196,37,Other,Playstation Vr,32.14,6,1,Middle (30-44),Medium (20-40 min),2.22
197,20,Other,Htc Vive,45.29,8,5,Young (18-29),Long (>40 min),6.11
198,55,Male,Oculus Rift,42.96,8,5,Senior (45+),Long (>40 min),6.11
199,56,Other,Playstation Vr,41.03,3,4,Senior (45+),Long (>40 min),7.64
200,33,Other,Htc Vive,11.47,10,1,Middle (30-44),Short (<20 min),0.0
201,55,Male,Oculus Rift,8.46,3,4,Senior (45+),Short (<20 min),7.64
202,38,Male,Htc Vive,25.72,3,4,Middle (30-44),Medium (20-40 min),7.64
203,32,Female,Htc Vive,42.38,7,1,Middle (30-44),Long (>40 min),1.67
204,21,Other,Oculus Rift,9.21,2,1,Young (18-29),Short (<20 min),4.44
205,40,Other,Playstation Vr,8.72,5,2,Middle (30-44),Short (<20 min),4.03
206,20,Other,Oculus Rift,28.09,7,2,Young (18-29),Medium (20-40 min),2.92
207,18,Male,Htc Vive,31.58,4,4,Young (18-29),Medium (20-40 min),7.08
208,41,Female,Htc Vive,28.23,4,5,Middle (30-44),Medium (20-40 min),8.33
209,25,Male,Oculus Rift,13.82,7,2,Young (18-29),Short (<20 min),2.92
210,48,Male,Oculus Rift,31.18,1,5,Senior (45+),Medium (20-40 min),10.0
211,51,Other,Htc Vive,52.78,6,2,Senior (45+),Long (>40 min),3.47
212,24,Female,Playstation Vr,26.77,8,5,Young (18-29),Medium (20-40 min),6.11
213,53,Female,Oculus Rift,32.22,10,2,Senior (45+),Medium (20-40 min),1.25
214,42,Male,Htc Vive,21.12,6,4,Middle (30-44),Medium (20-40 min),5.97
215,56,Female,Htc Vive,5.93,10,1,Senior (45+),Short (<20 min),0.0
216,59,Male,Playstation Vr,55.27,5,5,Senior (45+),Long (>40 min),7.78
217,32,Male,Oculus Rift,56.23,9,5,Middle (30-44),Long (>40 min),5.56
218,20,Male,Oculus Rift,51.49,6,3,Young (18-29),Long (>40 min),4.72
219,47,Other,Oculus Rift,35.16,9,5,Senior (45+),Medium (20-40 min),5.56
220,42,Female,Htc Vive,58.68,9,2,Middle (30-44),Long (>40 min),1.81
221,29,Female,Playstation Vr,32.43,2,4,Young (18-29),Medium (20-40 min),8.19
222,38,Other,Playstation Vr,45.74,10,1,Middle (30-44),Long (>40 min),0.0
223,20,Other,Htc Vive,14.99,6,2,Young (18-29),Short (<20 min),3.47
224,38,Other,Oculus Rift,56.87,5,4,Middle (30-44),Long (>40 min),6.53
225,60,Other,Playstation Vr,52.77,4,4,Senior (45+),Long (>40 min),7.08
226,20,Female,Oculus Rift,44.21,7,4,Young (18-29),Long (>40 min),5.42
227,30,Female,Oculus Rift,24.55,4,5,Middle (30-44),Medium (20-40 min),8.33
228,19,Female,Playstation Vr,12.27,1,3,Young (18-29),Short (<20 min),7.5
229,30,Male,Htc Vive,15.07,9,2,Middle (30-44),Short (<20 min),1.81
230,47,Female,Playstation Vr,43.91,4,4,Senior (45+),Long (>40 min),7.08
231,31,Male,Oculus Rift,49.22,3,5,Middle (30-44),Long (>40 min),8.89
232,25,Male,Oculus Rift,23.19,10,2,Young (18-29),Medium (20-40 min),1.25
233,60,Male,Playstation Vr,17.25,9,3,Senior (45+),Short (<20 min),3.06
234,35,Other,Oculus Rift,28.57,2,4,Middle (30-44),Medium (20-40 min),8.19
235,41,Other,Oculus Rift,33.51,5,5,Middle (30-44),Medium (20-40 min),7.78
236,36,Other,Oculus Rift,27.6,10,2,Middle (30-44),Medium (20-40 min),1.25
237,39,Other,Htc Vive,35.27,1,3,Middle (30-44),Medium (20-40 min),7.5
238,31,Other,Htc Vive,35.15,1,1,Middle (30-44),Medium (20-40 min),5.0
239,23,Male,Playstation Vr,6.63,3,2,Young (18-29),Short (<20 min),5.14
240,52,Female,Oculus Rift,28.35,5,2,Senior (45+),Medium (20-40 min),4.03
241,20,Male,Playstation Vr,36.82,3,4,Young (18-29),Medium (20-40 min),7.64
242,47,Female,Playstation Vr,18.27,6,4,Senior (45+),Short (<20 min),5.97
243,24,Other,Htc Vive,30.17,2,1,Young (18-29),Medium (20-40 min),4.44
244,52,Other,Htc Vive,56.1,5,3,Senior (45+),Long (>40 min),5.28
245,35,Male,Oculus Rift,41.6,2,5,Middle (30-44),Long (>40 min),9.44
246,36,Other,Playstation Vr,56.14,10,3,Middle (30-44),Long (>40 min),2.5
247,51,Other,Htc Vive,50.3,1,2,Senior (45+),Long (>40 min),6.25
248,42,Other,Htc Vive,19.98,6,1,Middle (30-44),Short (<20 min),2.22
249,53,Other,Oculus Rift,29.09,6,4,Senior (45+),Medium (20-40 min),5.97
250,38,Male,Htc Vive,20.69,7,3,Middle (30-44),Medium (20-40 min),4.17
251,34,Male,Oculus Rift,25.93,4,4,Middle (30-44),Medium (20-40 min),7.08
252,35,Male,Htc Vive,14.54,5,1,Middle (30-44),Short (<20 min),2.78
253,60,Other,Oculus Rift,24.89,4,5,Senior (45+),Medium (20-40 min),8.33
254,20,Other,Htc Vive,52.19,3,2,Young (18-29),Long (>40 min),5.14
255,32,Male,Oculus Rift,59.14,9,1,Middle (30-44),Long (>40 min),0.56
256,30,Other,Oculus Rift,51.55,10,2,Middle (30-44),Long (>40 min),1.25
257,32,Female,Htc Vive,41.2,2,1,Middle (30-44),Long (>40 min),4.44
258,56,Female,Oculus Rift,58.46,4,4,Senior (45+),Long (>40 min),7.08
259,49,Female,Htc Vive,26.06,10,2,Senior (45+),Medium (20-40 min),1.25
260,38,Female,Htc Vive,5.35,10,1,Middle (30-44),Short (<20 min),0.0
261,59,Female,Oculus Rift,15.89,4,3,Senior (45+),Short (<20 min),5.83
262,41,Male,Playstation Vr,12.32,4,4,Middle (30-44),Short (<20 min),7.08
263,48,Male,Oculus Rift,22.68,4,1,Senior (45+),Medium (20-40 min),3.33
264,32,Female,Oculus Rift,7.23,9,5,Middle (30-44),Short (<20 min),5.56
265,24,Male,Htc Vive,51.9,8,2,Young (18-29),Long (>40 min),2.36
266,29,Male,Playstation Vr,21.41,8,2,Young (18-29),Medium (20-40 min),2.36
267,53,Male,Htc Vive,28.26,5,1,Senior (45+),Medium (20-40 min),2.78
268,57,Other,Oculus Rift,30.9,1,5,Senior (45+),Medium (20-40 min),10.0
269,42,Female,Oculus Rift,42.63,10,1,Middle (30-44),Long (>40 min),0.0
270,58,Other,Htc Vive,40.29,5,5,Senior (45+),Long (>40 min),7.78
271,37,Other,Oculus Rift,13.16,10,5,Middle (30-44),Short (<20 min),5.0
272,29,Female,Oculus Rift,43.22,10,3,Young (18-29),Long (>40 min),2.5
273,25,Female,Htc Vive,36.34,7,1,Young (18-29),Medium (20-40 min),1.67
274,27,Other,Playstation Vr,36.08,5,4,Young (18-29),Medium (20-40 min),6.53
275,33,Female,Htc Vive,28.26,1,3,Middle (30-44),Medium (20-40 min),7.5
276,38,Female,Playstation Vr,35.99,5,1,Middle (30-44),Medium (20-40 min),2.78
277,57,Other,Oculus Rift,52.04,6,5,Senior (45+),Long (>40 min),7.22
278,39,Male,Htc Vive,58.33,6,4,Middle (30-44),Long (>40 min),5.97
279,55,Other,Oculus Rift,21.78,2,3,Senior (45+),Medium (20-40 min),6.94
280,41,Other,Oculus Rift,5.61,5,4,Middle (30-44),Short (<20 min),6.53
281,24,Male,Playstation Vr,55.58,9,1,Young (18-29),Long (>40 min),0.56
282,47,Male,Htc Vive,44.41,5,3,Senior (45+),Long (>40 min),5.28
283,47,Female,Oculus Rift,31.4,7,4,Senior (45+),Medium (20-40 min),5.42
284,40,Female,Oculus Rift,59.73,9,4,Middle (30-44),Long (>40 min),4.31
285,20,Other,Playstation Vr,5.68,9,4,Young (18-29),Short (<20 min),4.31
286,54,Other,Playstation Vr,24.8,7,2,Senior (45+),Medium (20-40 min),2.92
287,56,Male,Oculus Rift,43.61,8,2,Senior (45+),Long (>40 min),2.36
288,47,Other,Oculus Rift,15.85,9,5,Senior (45+),Short (<20 min),5.56
289,23,Female,Playstation Vr,40.94,2,1,Young (18-29),Long (>40 min),4.44
290,32,Other,Oculus Rift,19.3,9,5,Middle (30-44),Short (<20 min),5.56
291,31,Female,Oculus Rift,7.5,8,5,Middle (30-44),Short (<20 min),6.11
292,42,Male,Htc Vive,35.27,3,5,Middle (30-44),Medium (20-40 min),8.89
293,51,Male,Playstation Vr,21.39,5,3,Senior (45+),Medium (20-40 min),5.28
294,28,Other,Oculus Rift,57.1,7,1,Young (18-29),Long (>40 min),1.67
295,40,Female,Oculus Rift,45.28,3,4,Middle (30-44),Long (>40 min),7.64
296,33,Male,Oculus Rift,52.45,9,3,Middle (30-44),Long (>40 min),3.06
297,23,Male,Playstation Vr,43.9,7,1,Young (18-29),Long (>40 min),1.67
298,39,Other,Htc Vive,55.9,1,1,Middle (30-44),Long (>40 min),5.0
299,31,Female,Oculus Rift,22.84,9,4,Middle (30-44),Medium (20-40 min),4.31
300,18,Other,Htc Vive,51.81,7,3,Young (18-29),Long (>40 min),4.17
301,46,Other,Playstation Vr,36.6,6,1,Senior (45+),Medium (20-40 min),2.22
302,27,Female,Htc Vive,42.75,10,2,Young (18-29),Long (>40 min),1.25
303,30,Other,Oculus Rift,27.1,4,5,Middle (30-44),Medium (20-40 min),8.33
304,30,Other,Htc Vive,19.27,3,5,Middle (30-44),Short (<20 min),8.89
305,55,Female,Htc Vive,20.62,6,3,Senior (45+),Medium (20-40 min),4.72
306,34,Male,Playstation Vr,37.12,1,5,Middle (30-44),Medium (20-40 min),10.0
307,18,Male,Htc Vive,53.96,9,4,Young (18-29),Long (>40 min),4.31
308,58,Male,Oculus Rift,57.28,10,1,Senior (45+),Long (>40 min),0.0
309,37,Female,Oculus Rift,25.23,1,3,Middle (30-44),Medium (20-40 min),7.5
310,33,Other,Playstation Vr,58.22,6,2,Middle (30-44),Long (>40 min),3.47
311,30,Other,Playstation Vr,19.1,3,3,Middle (30-44),Short (<20 min),6.39
312,51,Other,Playstation Vr,55.63,5,5,Senior (45+),Long (>40 min),7.78
313,29,Female,Oculus Rift,6.22,7,4,Young (18-29),Short (<20 min),5.42
314,33,Male,Playstation Vr,56.73,8,2,Middle (30-44),Long (>40 min),2.36
315,41,Male,Htc Vive,28.08,1,3,Middle (30-44),Medium (20-40 min),7.5
316,38,Female,Htc Vive,28.49,8,1,Middle (30-44),Medium (20-40 min),1.11
317,31,Other,Htc Vive,44.28,1,4,Middle (30-44),Long (>40 min),8.75
318,50,Female,Playstation Vr,52.92,1,2,Senior (45+),Long (>40 min),6.25
319,20,Other,Oculus Rift,41.4,7,3,Young (18-29),Long (>40 min),4.17
320,25,Female,Htc Vive,45.32,5,4,Young (18-29),Long (>40 min),6.53
321,25,Male,Playstation Vr,12.47,6,5,Young (18-29),Short (<20 min),7.22
322,24,Other,Oculus Rift,26.89,3,1,Young (18-29),Medium (20-40 min),3.89
323,28,Female,Oculus Rift,39.13,10,2,Young (18-29),Medium (20-40 min),1.25
324,55,Female,Htc Vive,42.41,10,1,Senior (45+),Long (>40 min),0.0
